x,y,value
France,Apricot,2.3129545439964723
France,Avocado,3.1610140317890965
France,Lemon,0.9075695440623942
France,Date,1.1296454803177811
France,Strawberry,
France,Mandarin,2.6193568568512493
France,Chestnut,0.08748279136251946
France,Nuts,2.943858242639327
France,Olive,1.3356914547843943
France,Mirabelle,0.31390905400247027
France,Orange,0.5709024568447734
France,Fig,0.8689875977541086
France,Raisin,
France,Pear,
France,Potato,
France,Khaki,
France,Kiwi,6.026783469350332
France,Pumpkin,0.5472217416389179
France,Mango,
France,Cherry,1.9472375734686518
